customer_id;gender
2547;Male
822;Male
3686;Male
3719;Male
9200;Male
5010;Male
1666;Male
1253;Male
5541;Male
7548;Male
6865;Male
6044;Male
592;Male
6450;Male
3874;Male
5599;Male
9223;Male
4921;Male
6294;Male
5780;Male
2116;Male
3624;Male
5058;Male
4736;Male
3071;Male
2065;Male
8566;Male
8303;Male
4776;Male
6459;Male
2546;Male
1595;Male
4022;Male
2438;Male
6179;Male
4316;Male
3391;Male
1655;Male
3883;Male
6797;Male
8521;Male
2476;Male
824;Male
3785;Male
1098;Male
6112;Male
8515;Male
708;Male
5097;Male
8473;Male
9011;Male
4720;Male
4414;Male
2125;Male
2562;Male
473;Male
9113;Male
7096;Male
3708;Male
1794;Male
8537;Male
3992;Male
7488;Male
4604;Male
9108;Male
4783;Male
2988;Male
5373;Male
1765;Male
5852;Male
4948;Male
4530;Male
4122;Male
981;Male
9628;Male
8048;Male
8470;Male
6891;Male
6268;Male
3588;Male
178;Male
5721;Male
1725;Male
8541;Male
6994;Male
2844;Male
3;Male
427;Male
3235;Male
4670;Male
957;Male
7408;Male
6523;Male
4803;Male
2826;Male
4332;Male
3131;Male
7141;Male
5948;Male
6848;Male
1585;Male
1908;Male
195;Male
5204;Male
2530;Male
7355;Male
3764;Male
7443;Male
4839;Male
3011;Male
1659;Male
8288;Male
5170;Male
4817;Male
7126;Male
1577;Male
3592;Male
2617;Male
1614;Male
8814;Male
6901;Male
454;Male
3610;Male
5293;Male
5219;Male
2285;Male
6874;Male
6045;Male
343;Male
8635;Male
399;Male
1891;Male
5778;Male
3156;Male
3180;Male
131;Male
3530;Male
692;Male
3376;Male
2223;Male
6806;Male
4993;Male
6854;Male
4775;Male
6727;Male
191;Male
2422;Male
8553;Male
6504;Male
8907;Male
1284;Male
3724;Male
1762;Male
5034;Male
9251;Male
3837;Male
6701;Male
2257;Male
1128;Male
8417;Male
1894;Male
8308;Male
3695;Male
3848;Male
7077;Male
6422;Male
4046;Male
3827;Male
3913;Male
3226;Male
2057;Male
1906;Male
100;Male
6918;Male
7002;Male
3524;Male
4289;Male
5738;Male
8218;Male
3065;Male
2340;Male
2767;Male
275;Male
5080;Male
2649;Male
841;Male
3317;Male
6471;Male
2978;Male
9157;Male
4421;Male
1862;Male
2132;Male
2686;Male
6325;Male
7945;Male
6587;Male
1660;Male
1134;Male
3645;Male
9340;Male
8356;Male
8858;Male
7304;Male
5475;Male
2400;Male
1863;Male
3006;Male
9583;Male
7257;Male
8636;Male
3543;Male
911;Male
6192;Male
6343;Male
2883;Male
2477;Male
6887;Male
6723;Male
2822;Male
4815;Male
3344;Male
6843;Male
5752;Male
8008;Male
424;Male
6324;Male
8035;Male
4124;Male
176;Male
5984;Male
274;Male
8780;Male
1685;Male
6404;Male
7946;Male
1531;Male
3290;Male
2811;Male
7880;Male
4323;Male
60;Male
6670;Male
5449;Male
3036;Male
8727;Male
5241;Male
263;Male
2237;Male
477;Male
5259;Male
754;Male
3206;Male
8800;Male
4349;Male
1643;Male
5038;Male
651;Male
7343;Male
6353;Male
5367;Male
2762;Male
8745;Male
3494;Male
2071;Male
9145;Male
5939;Male
1635;Male
7340;Male
6809;Male
5175;Male
1997;Male
7130;Male
4372;Male
5770;Male
1669;Male
944;Male
1211;Male
3481;Male
94;Male
9375;Male
7901;Male
5339;Male
4047;Male
7613;Male
6731;Male
8106;Male
6242;Male
8844;Male
3802;Male
8319;Male
4058;Male
9405;Male
167;Male
3989;Male
4707;Male
2367;Male
5934;Male
1264;Male
2272;Male
6742;Male
2246;Male
6184;Male
6075;Male
289;Male
4994;Male
6205;Male
8022;Male
2601;Male
5952;Male
779;Male
2770;Male
5568;Male
2092;Male
7330;Male
1082;Male
3855;Male
3767;Male
7795;Male
8638;Male
8990;Male
991;Male
2444;Male
7232;Male
8639;Male
428;Male
1350;Male
2572;Male
627;Male
3594;Male
7937;Male
5435;Male
2417;Male
3373;Male
2490;Male
8615;Male
688;Male
2884;Male
9360;Male
2781;Male
237;Male
5990;Male
8079;Male
5621;Male
7902;Male
8531;Male
2512;Male
4553;Male
83;Male
6556;Male
9115;Male
8486;Male
4956;Male
5661;Male
8996;Male
5392;Male
3732;Male
8514;Male
2531;Male
3746;Male
6070;Male
4459;Male
3801;Male
7440;Male
5320;Male
